ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1795715	3.12e-04	5.01e-05	4.400997	1.529614	0.3935072	119943097	DPYD	dihydropyrimidine dehydrogenase
ILMN_1691736	3.71e-04	6.17e-05	-4.339912	1.518286	-0.5094938	558757379	ST6GALNAC6	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 6
ILMN_1810327	3.11e-04	4.98e-05	-4.402886	1.516998	-0.317013	NA		
ILMN_1798874	3.11e-04	4.98e-05	-4.402748	1.516766	-0.3370921	556695475	EMC4	ER membrane protein complex subunit 4
ILMN_1780582	3.67e-04	6.09e-05	-4.343632	1.514943	-0.5587513	94421023	CD83	CD83 molecule
ILMN_1690304	4.07e-04	6.90e-05	-4.30674	1.513639	-0.9277359	NA		
ILMN_1695362	3.63e-04	6.01e-05	-4.347354	1.513211	-0.3648628	1022943293	ZNF32	zinc finger protein 32
ILMN_2131880	3.14e-04	5.04e-05	-4.399308	1.504369	-0.2820429	1007386460	DPY30	dpy-30, histone methyltransferase complex regulatory subunit
ILMN_1738438	4.23e-04	7.22e-05	4.293304	1.504051	0.9249764	148727304	MAST4	microtubule associated serine/threonine kinase family member 4
ILMN_1705093	3.36e-04	5.48e-05	-4.374651	1.503313	-0.384187	309243098	ORC5	origin recognition complex subunit 5
